resort,region,country,latitude,longitude,rating,beginner,intermediate,advanced,elev_base,elev_summit,elev_vertical,longest_run,snow_making,lifts_double,lifts_quad,lifts_surface,terrain_apres,terrain_family,terrain_allmnt,terrain_park,ratingcount
blandford-ski-area,massachusetts,usa,42.194355,-72.911667,2.7,0.4,0.5,0.1,1035,1685,465,0.5,82,3,0,2,1.7,3.4,2.1,2.1,9
blue-hills-ski-area,massachusetts,usa,42.215359,-71.119278,3.1,0.13,0.25,0.62,326,635,309,0,60,1,0,3,1.8,3.7,2.5,2.3,9
blue-knob,pennsylvania,usa,40.28841,-78.561684,3.2,0.15,0.41,0.26,2074,3146,1072,2,84,2,0,1,2.1,3.7,2.7,2.3,42
blue-mountain,ontario,can,44.506718,-80.318512,2.9,NA,NA,NA,755,1476,722,1.1,0,1,1,5,2.5,3.6,2.5,2.5,37
blue-mountain-ski-area,pennsylvania,usa,40.822643,-75.512482,3.5,0.41,0.13,0.13,460,1600,1082,1.2,164,3,1,9,2.6,3.6,2.9,2.9,154
bluewood,washington,usa,46.091724,-117.85355,3.1,0.17,0.45,0.38,4545,5670,1125,2,0,0,0,1,1.9,3.7,2.6,2.2,22
bogus-basin,idaho,usa,43.764057,-116.10262,3.3,0.22,0.45,0.33,5800,7582,1800,1,390,3,0,0,2.2,3.8,2.8,2.5,40
bolton-valley,vermont,usa,44.42099,-72.850327,3.2,0.34,0.38,0.23,1446,3150,1704,0.6,90,3,2,1,2.1,3.7,2.7,2.3,34
boreal,california,usa,39.336452,-120.34984,3.1,0.3,0.55,0.15,7200,7700,500,1,200,1,1,2,2.2,3.5,2.7,2.7,37
boston-mills,ohio,usa,41.26487,-81.562607,3.1,0.2,0.4,0.4,631,871,264,0.3,40,2,0,2,2,3.5,2.4,2.3,37
bousquet-ski-area,massachusetts,usa,42.418007,-73.277199,3.2,0.34,0.33,0.33,1125,1875,750,1,98,3,0,2,2.1,3.7,2.7,2.3,9
boyne-highlands,michigan,usa,45.464725,-84.926537,3.3,0.35,0.29,0.35,745,1290,552,1.2,400,0,3,2,2.4,3.7,2.8,2.6,30
boyne-mountain-resort,michigan,usa,45.163033,-84.932198,3.3,0.29,0.41,0.29,620,1120,500,1,380,2,4,2,2.3,3.7,3,2.5,36
bradford-ski-area,massachusetts,usa,42.744728,-71.055817,3.1,0.1,0.8,0.1,1300,1548,248,0.3,48,0,0,8,1.9,3.6,2.5,2.1,7
brandywine,ohio,usa,40.066284,-82.947464,3,0.27,0.27,0.46,631,871,240,0.3,85,2,2,5,2,3.5,2.4,2.3,32
brantling-ski-slopes,new-york,usa,43.150124,-77.065735,2.7,0.3,0.4,0.3,600,850,250,0.1,16,0,0,5,1.7,3.4,2.2,1.9,14
breckenridge,colorado,usa,39.481655,-106.03835,4,0.11,0.31,0.24,9600,12998,3398,3.5,540,6,0,14,4,4,4,3.8,164
bretton-woods,new-hampshire,usa,44.258121,-71.441193,3.5,0.25,0.29,0.3,1600,3100,1500,2,400,1,1,3,2.6,4,3.3,2.7,64
brian-head-resort,utah,usa,37.70509,-112.8497,3.4,0.3,0.35,0.32,9600,11307,1707,0.6,216,1,0,1,2.2,3.9,2.9,2.9,51
bridger-bowl,montana,usa,45.818821,-110.90578,3.3,0.12,0.28,0.18,6100,8700,2600,3,100,2,1,0,2.1,3.8,2.8,2.3,32
brighton-resort,utah,usa,40.592529,-111.57763,3.5,0.21,0.39,0.25,8755,10500,1745,1.2,200,0,1,1,2.4,3.7,3.2,2.9,49
bristol-mountain,new-york,usa,42.746696,-77.401939,3.3,0.35,0.45,0.2,1000,2200,1200,2,148,1,1,1,2.1,3.7,2.7,2.6,54
bromley-mountain,vermont,usa,43.227852,-72.938713,3.2,0.3,0.36,0.32,1950,3284,1334,2.5,155,4,1,2,2.1,3.8,2.7,2.3,24
bruce-mound,wisconsin,usa,44.445656,-90.784531,3.3,0.17,0.17,0.5,1000,1375,375,0.5,30,0,0,4,2,3.9,2.7,2.4,4
brundage-mountain-resort,idaho,usa,45.005402,-116.15441,3.2,0.2,0.5,0.1,5840,7640,1800,3.2,2,0,0,0,2.2,3.7,2.7,2.3,24
bryce-resort,virginia,usa,38.817463,-78.765694,3.1,0.38,0.5,0.13,1250,1750,500,0.4,25,1,1,5,2.2,3.6,2.7,2.2,22
buck-hill,minnesota,usa,44.723133,-93.287254,2.9,0.34,0.34,0.16,919,1225,309,0.2,45,0,2,5,1.8,3.5,2.5,2.4,22
buena-vista-ski-area,minnesota,usa,47.658035,-94.878891,3.1,0.2,0.55,0.25,1280,1510,230,772.2,30,2,0,2,2,3.6,2.5,2.2,5
buffalo-ski-club-ski-area,new-york,usa,42.680981,-78.692039,3.2,0.2,0.46,0,2025,3429,500,0,150,2,0,4,1.5,3.7,2.7,2.3,3
burke-mountain,vermont,usa,44.571167,-71.892319,3.2,0.11,0.46,0.34,1210,3267,2011,2.2,125,0,1,3,2.1,3.7,2.7,2.1,23
caberfae-peaks-ski-golf-resort,michigan,usa,44.244709,-85.720573,3.2,0.35,0.35,0.29,1060,1569,485,1.2,200,1,1,1,2.1,3.7,2.7,2.2,46
calabogie-peaks,ontario,can,45.27475,-76.781433,3.1,NA,NA,NA,505,1266,761,1.3,80,0,2,1,2,3.6,2.6,2.3,14
camden-snow-bowl,maine,usa,44.217274,-69.134666,3.1,0.09,0.3,0.61,150,1080,850,1,48,1,0,1,2.1,3.6,2.7,2.3,4
camelback-mountain-resort,pennsylvania,usa,41.051491,-75.355179,3.2,0.32,0.32,0.32,1250,2100,800,1,160,5,0,6,2.2,3.6,2.7,2.5,126
camp-fortune,quebec,can,45.510998,-75.851646,2.7,NA,NA,NA,23,650,627,0.3,95,0,4,3,1.7,3.3,2,2,13
campgaw-mountain,new-jersey,usa,41.054264,-74.19931,3.1,0.33,0.33,0.25,450,726,274,0.3,23,2,0,3,2,3.6,2.5,2.3,21
canaan-valley-resort,west-virginia,usa,39.024181,-79.465218,3.2,0.19,0.36,0.43,3430,4280,850,1.2,75,0,1,2,2.2,3.8,3.1,2.9,28
canada-olympic-park,alberta,can,51.082382,-114.21527,2.8,NA,NA,NA,3707,4101,394,0.4,90,0,1,4,1.5,3.5,2.5,2.3,2
cannon-mountain,new-hampshire,usa,44.156452,-71.698418,3.3,0.15,0.52,0.33,1900,4080,2180,2.3,191,1,2,3,2,3.6,2.8,2.2,50
